country,year,gdp,pop,unemp
AD,2005,3.84225553255173,0.081223,NA
AD,2006,4.01843488250965,0.083373,NA
AD,2007,4.02157084409338,0.084878,NA
AD,2008,3.67594675020161,0.085616,NA
AE,2005,253.96554687726402,4.481976,3.09999990463257
AE,2006,278.948949835963,5.171255,3.29999995231628
AE,2007,287.831772785526,6.0101,3.40000009536743
AE,2008,297.01889170759495,6.900142,4
AF,2005,9.762978844076331,24.399948,8.5
AF,2006,10.3052281251392,25.183615,8.80000019073486
AF,2007,11.721187594205201,25.877544,8.39999961853027
AF,2008,12.14448285818,26.528741,8.89999961853027
AG,2005,1.11902854862809,0.082565,NA
AG,2006,1.26871428547719,0.083467,NA
AG,2007,1.3892287510664698,0.084397,NA
AG,2008,1.39021664580882,0.08535,NA
AL,2005,9.268392517277041,3.011487,12.5
AL,2006,9.77176009512554,2.992547,12.3999996185303
AL,2007,10.3482939415853,2.970017,13.5
AL,2008,11.1275204742981,2.947314,13
AM,2005,7.66775568151717,3.014917,27.7999992370605
AM,2006,8.67974634592191,3.002161,28.6000003814697
AM,2007,9.873142200518789,2.988117,28.3999996185303
AM,2008,10.5543890125207,2.975029,16.3999996185303
AO,2005,46.2260076914898,17.912942,6.80000019073486
AO,2006,55.811028114647904,18.541467,6.80000019073486
AO,2007,68.42044400149949,19.183907,6.69999980926514
AO,2008,77.8741965121845,19.842251,6.80000019073486
AR,2005,334.62672102622497,39.145491,10.6000003814697
AR,2006,361.873822181339,39.55875,10.1000003814697
AR,2007,394.49944172738395,39.969903,8.5
AR,2008,410.649702491575,40.38186,7.80000019073486
AS,2005,NA,0.059117,NA
AS,2006,NA,0.058648,NA
AS,2007,NA,0.057904,NA
AS,2008,NA,0.057031,NA
AT,2005,365.947337748344,8.227829,5.19999980926514
AT,2006,378.20961589404,8.268641,4.69999980926514
AT,2007,391.906516556291,8.295487,4.40000009536743
AT,2008,397.970344370861,8.321496,3.79999995231628
AU,2005,992.339076659351,20.3948,5
AU,2006,1021.9392641066701,20.6979,4.80000019073486
AU,2007,1060.3402452335501,20.8276,4.40000009536743
AU,2008,1099.64387186603,21.2492,4.19999980926514
AW,2005,NA,0.100031,NA
AW,2006,NA,0.10083,NA
AW,2007,NA,0.101218,NA
AW,2008,NA,0.101342,NA
AZ,2005,24.7512817159126,8.39185,7.30000019073486
AZ,2006,33.2904737866938,8.48455,6.59999990463257
AZ,2007,41.6294044067868,8.5813,6.30000019073486
AZ,2008,46.1138990187892,8.7634,5.90000009536743
BA,2005,14.921121281140499,3.833377,26
BA,2006,15.7236503010536,3.838504,31.7999992370605
BA,2007,16.6244200297942,3.840418,29.7000007629395
BA,2008,17.5356889219935,3.839749,23.8999996185303
BB,2005,4.281126975222731,0.274013,9.10000038146973
BB,2006,4.52380654919438,0.27504,8.69999980926514
BB,2007,4.60361936400642,0.276154,7.40000009536743
BB,2008,4.6218507176436905,0.277315,8.10000038146973
BD,2005,85.86035647770261,142.929979,4.30000019073486
BD,2006,91.5888463538372,144.839238,4.19999980926514
BD,2007,98.0537698232911,146.592687,4.30000019073486
BD,2008,103.95051739146601,148.252473,4.40000009536743
BE,2005,451.326797350993,10.478617,8.39999961853027
BE,2006,462.606953112583,10.547958,8.19999980926514
BE,2007,478.324234304636,10.6257,7.5
BE,2008,481.898172317881,10.709973,7
BF,2005,6.87822145676875,13.421929,2.70000004768372
BF,2006,7.308327553744641,13.834195,2.29999995231628
BF,2007,7.60880079140298,14.264002,3.29999995231628
BF,2008,8.05011162269787,14.709011,3.29999995231628
BG,2005,43.4880102182093,7.7399,10.1000003814697
BG,2006,46.4248137853817,7.69902,8.89999961853027
BG,2007,49.988081046808404,7.545338,6.90000009536743
BG,2008,52.81091066565261,7.492561,5.59999990463257
BH,2005,19.620444333846198,0.867014,4.40000009536743
BH,2006,20.889606053042097,0.940808,4.09999990463257
BH,2007,22.621864899630403,1.026568,5.59999990463257
BH,2008,24.034629395827,1.115777,3.70000004768372
BI,2005,1.62708510705727,7.934213,7.30000019073486
BI,2006,1.71469806564965,8.21807,7.19999980926514
BI,2007,1.79676063353677,8.514578,7.19999980926514
BI,2008,1.88746324456885,8.821795,7.19999980926514
BJ,2005,5.77274479573959,8.182362,1.29999995231628
BJ,2006,6.00059582641589,8.443717,1.10000002384186
BJ,2007,6.35982242697484,8.707637,1.10000002384186
BJ,2008,6.6710335908254095,8.973525,1.10000002384186
BM,2005,5.620941625466799,0.064154,NA
BM,2006,5.932559093079179,0.064523,NA
BM,2007,6.10139320583452,0.064888,NA
BM,2008,6.1946160210281604,0.065273,NA
BN,2005,13.264408405291201,0.361889,3.40000009536743
BN,2006,13.8477399677348,0.36815,3.29999995231628
BN,2007,13.8691460063888,0.374459,3.29999995231628
BN,2008,13.6001241692509,0.380786,3.29999995231628
BO,2005,15.6965021035842,9.125405,5.40000009536743
BO,2006,16.4494646944835,9.283345,5.30000019073486
BO,2007,17.2002651317348,9.441482,5.19999980926514
BO,2008,18.2579451570139,9.599916,2.90000009536743
BR,2005,1774.78910594317,188.47924,9.30000019073486
BR,2006,1845.0796645246298,190.698241,8.39999961853027
BR,2007,1957.11813605633,192.784521,8.10000038146973
BR,2008,2056.80917405293,194.769696,7.09999990463257
BS,2005,8.00245449568156,0.329243,10.1999998092651
BS,2006,8.203865379276941,0.335801,7.59999990463257
BS,2007,8.32253611450224,0.342259,7.90000009536743
BS,2008,8.12912559776819,0.348587,8.69999980926514
BT,2005,1.00782315938045,0.651163,3.09999990463257
BT,2006,1.0768526555134899,0.66692,3.09999990463257
BT,2007,1.26988737745454,0.681471,3.70000004768372
BT,2008,1.33044010587773,0.69499,3.79999995231628
BW,2005,10.2309617441341,1.864003,22
BW,2006,11.0866661935278,1.895671,17.6000003814697
BW,2007,12.0042833629508,1.930431,18.5
BW,2008,12.754003371309901,1.967866,21.8999996185303
BY,2005,38.8554363392774,9.663,6.40000009536743
BY,2006,42.7409799732051,9.604,6.40000009536743
BY,2007,46.41670425096,9.56,6.30000019073486
BY,2008,51.1512080846036,9.528,6.19999980926514
BZ,2005,1.23010687394271,0.283279,11
BZ,2006,1.28647726315678,0.290751,9.39999961853027
BZ,2007,1.30068397055992,0.298403,8.5
BZ,2008,1.34267648722142,0.306165,8.19999980926514
CA,2005,1524.47556882159,32.312,6.69999980926514
CA,2006,1564.46885332945,32.570505,6.30000019073486
CA,2007,1596.73989846632,32.887928,6
CA,2008,1612.71306125024,33.245773,6.09999990463257
CD,2005,15.674886408150298,56.089536,8.19999980926514
CD,2006,16.5089441447183,57.92684,8.19999980926514
CD,2007,17.5423165255473,59.834875,8.19999980926514
CD,2008,18.6344836603004,61.809278,8.19999980926514
CF,2005,1.69415550607145,4.055608,7
CF,2006,1.77498511259064,4.127112,6.90000009536743
CF,2007,1.8567681703157999,4.202104,6.90000009536743
CF,2008,1.8949086201949001,4.280405,7
CG,2005,9.30792084519521,3.503086,6.59999990463257
CG,2006,9.88836251104569,3.604595,6.59999990463257
CG,2007,9.73190658975001,3.715665,6.59999990463257
CG,2008,10.2741941339768,3.832771,6.59999990463257
CH,2005,520.661983411641,7.437115,4.40000009536743
CH,2006,541.555032026081,7.483934,4
CH,2007,563.977296960399,7.551117,3.59999990463257
CH,2008,576.8204140377791,7.647675,3.40000009536743
CI,2005,22.3007670391796,18.132702,4.09999990463257
CI,2006,22.6388115133749,18.486392,4.09999990463257
CI,2007,23.0383948639785,18.862172,4.09999990463257
CI,2008,23.6242247240402,19.261647,4.09999990463257
CL,2005,183.282478637988,16.096571,8
CL,2006,191.356021768125,16.279728,7.69999980926514
CL,2007,201.231572326427,16.462701,7.09999990463257
CL,2008,207.85703108439,16.64594,7.80000019073486
CM,2005,20.464660330807302,18.126999,4.40000009536743
CM,2006,21.1244415906486,18.597109,4.09999990463257
CM,2007,21.812182534856603,19.0781,4.09999990463257
CM,2008,22.4412559637758,19.570418,4.19999980926514
CN,2005,3569.8531448264303,1303.72,4.09999990463257
CN,2006,4023.9198666521,1311.02,4
CN,2007,4596.57951712051,1317.885,3.79999995231628
CN,2008,5040.34660494495,1324.655,4.40000009536743
CO,2005,229.936852450343,43.285636,12
CO,2006,245.336908226293,43.835744,11.6999998092651
CO,2007,262.266694764289,44.374647,11.1999998092651
CO,2008,271.568782707966,44.90166,11.1000003814697
CR,2005,29.5396528948114,4.247843,6.59999990463257
CR,2006,31.677654043115798,4.30879,5.90000009536743
CR,2007,34.265051917216596,4.369465,4.59999990463257
CR,2008,35.858239321307096,4.429506,4.90000009536743
CU,2005,49.483699921906194,11.261052,1.89999997615814
CU,2006,55.45430710707701,11.275199,1.89999997615814
CU,2007,59.4814748805381,11.284043,1.79999995231628
CU,2008,61.9302249285733,11.290239,1.60000002384186
CV,2005,1.252563797499,0.474224,9.60000038146973
CV,2006,1.3525653652813598,0.478265,9.5
CV,2007,1.5577588368993298,0.481278,9.39999961853027
CV,2008,1.66135790768814,0.483824,9.39999961853027
CW,2005,NA,0.137658,NA
CW,2006,NA,0.141239,NA
CW,2007,NA,0.144056,NA
CW,2008,NA,0.14588,NA
CY,2005,22.574052490854598,1.032586,5.30000019073486
CY,2006,23.592183640877998,1.048293,4.5
CY,2007,24.7294945245176,1.06304,3.90000009536743
CY,2008,25.6850337993294,1.07701,3.59999990463257
CZ,2005,183.582151290953,10.211216,7.90000009536743
CZ,2006,196.206259195845,10.238905,7.09999990463257
CZ,2007,207.055025839996,10.298828,5.30000019073486
CZ,2008,212.668195598561,10.384603,4.40000009536743
DE,2005,3213.96878145695,82.469422,11.1000003814697
DE,2006,3332.89075496689,82.376451,10.3000001907349
DE,2007,3441.56083443709,82.266372,8.60000038146973
DE,2008,3478.80937748344,82.110097,7.5
DJ,2005,0.8910163294323811,0.778406,NA
DJ,2006,0.933783907546106,0.788941,NA
DJ,2007,0.9814074600561921,0.799309,NA
DJ,2008,1.0383287258753,0.809639,NA
DK,2005,319.11754769652003,5.419432,4.80000019073486
DK,2006,331.233619601358,5.437272,3.90000009536743
DK,2007,333.964367632154,5.461438,3.79999995231628
DK,2008,331.566650664106,5.493621,3.40000009536743
DM,2005,0.42338780882532195,0.070542,NA
DM,2006,0.43579174853700103,0.07069,NA
DM,2007,0.463338169769905,0.070795,NA
DM,2008,0.496331284969603,0.070881,NA
DO,2005,39.7389463008362,9.237565,18
DO,2006,43.979550792651295,9.371333,16.3999996185303
DO,2007,47.8103517941464,9.504336,15.6999998092651
DO,2008,49.3448270724557,9.636491,14.1999998092651
DZ,2005,142.229508279798,33.267887,15.3000001907349
DZ,2006,144.647409920555,33.749328,12.3000001907349
DZ,2007,149.565421857854,34.261971,13.8000001907349
DZ,2008,153.154991982442,34.811059,11.3000001907349
EC,2005,58.8762856689747,13.735232,6.59999990463257
EC,2006,61.4689184716664,13.96749,6.30000019073486
EC,2007,62.8151271092433,14.205479,5
EC,2008,66.8083667760763,14.4476,6
